,Unnamed: 0,Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits,ratings,difficulties,num_ratings
197,197,2022-23,Spring,CS,5566,Network Arch and Protocols,Hasan,3.88,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,20653,3,4.0,3.0,2.0
198,198,2022-23,Spring,CS,5854,Computational Systems Biology,Murali,3.57,40.0,20.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,20668,3,4.1,3.1,22.0
199,199,2022-23,Spring,CS,5704,Software Engineering,Cameron,3.75,40.0,50.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,22735,3,4.8,2.8,6.0
200,200,2023-24,Fall,CS,4234,Parallel Computation,Sandu,3.81,60.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,83395,3,3.1,3.6,10.0
201,201,2023-24,Fall,CS,5584,Network Security,Cho,3.2,10.0,10.0,20.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,83498,3,3.9,2.6,9.0
202,202,2023-24,Fall,CS,5594,Blockchain Technologies,Gao,3.84,60.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,91332,3,2.7,3.3,3.0
203,203,2021-22,Spring,CS,2304,TS: Docker Containerization,Irwin,3.74,67.7,9.7,9.7,6.5,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,4,31,13221,1,4.5,3.5,2.0
204,204,2018-19,Fall,CS,5560,Fundamentals of Info Security,Park,3.27,45.5,9.1,9.1,9.1,9.1,0.0,9.1,0.0,9.1,0.0,0.0,0.0,0,11,82771,3,5.0,2.9,6.0
205,205,2018-19,Spring,CS,5124,Algorithms in Bioinformatics,Heath,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,19518,3,5.0,2.6,29.0
206,206,2018-19,Spring,CS,6104,Adv Tops Theory Comp,Raghvendra,3.66,45.5,18.2,27.3,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,20183,3,3.0,4.5,2.0
207,207,2019-20,Fall,CS,3654,Intro Data Analytics & Visual,Lucero,3.05,27.3,9.1,18.2,27.3,0.0,9.1,0.0,0.0,0.0,0.0,0.0,9.1,3,11,82827,3,3.5,4.1,9.0
208,208,2019-20,Fall,CS,5834,Intro to Urban Computing,Prakash,3.79,54.5,27.3,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,82923,3,2.0,4.0,1.0
209,209,2019-20,Fall,CS,5734,Soc Comp & Comp Support Coop,Lee,3.92,72.7,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,90115,3,3.9,2.8,19.0
210,210,2019-20,Spring,CS,5590,System and Software Security,Yao,3.95,81.8,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,13152,3,4.0,3.0,1.0
211,211,2019-20,Spring,CS,5234,Advanced Parallel Computation,Sandu,3.97,90.9,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,19688,3,3.1,3.6,10.0
212,212,2020-21,Spring,CS,6724,"AT: Collab, Creativity & Comp",Lee,3.89,63.6,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,13392,3,3.9,2.8,19.0
213,213,2020-21,Spring,CS,5614,Database Management Systems,Gulzar,3.88,72.7,18.2,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,21428,3,0.0,0.0,0.0
214,214,2020-21,Spring,CS,2304,TS: C++,Cao,3.86,90.9,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,33,21451,1,2.0,4.9,13.0
215,215,2020-21,Spring,CS,5984,SS: Quantum Computation,Sikora,3.64,63.6,0.0,0.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,21675,3,3.9,2.5,41.0
216,216,2021-22,Fall,CS,5565,Network Arch and Protocols,Yang,3.86,54.5,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,83220,3,2.0,4.9,13.0
217,217,2021-22,Spring,CS,4164,Future of Security,Vance,3.86,54.5,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,13299,3,4.8,2.0,10.0
218,218,2021-22,Spring,CS,4274,Secure Computing Capstone,Hoang,3.81,36.4,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,20354,3,3.3,3.8,25.0
219,219,2021-22,Spring,CS,5984,SS: Computational Social Sci,Rho,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,21833,3,2.8,3.9,5.0
220,220,2022-23,Fall,CS,2144,Competitive Problem Solving I,Back,3.82,81.8,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,83245,3,3.4,4.5,18.0
221,221,2022-23,Fall,CS,3754,Cloud Software Development,Balci,3.15,36.4,18.2,9.1,18.2,0.0,0.0,9.1,0.0,0.0,0.0,0.0,9.1,4,11,83304,3,1.5,4.4,10.0
222,222,2022-23,Fall,CS,6104,Adv Tops Theory Comp,Ji,3.76,45.5,36.4,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,83492,3,2.3,3.8,5.0
223,223,2022-23,Spring,CS,4784,Human-Computer Interact Capstn,Ogle,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,22047,3,3.0,4.1,61.0
224,224,2023-24,Fall,CS,2974,Independent Study,Ellis,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,83350,3,2.8,3.8,22.0
225,225,2023-24,Fall,CS,5214,Mod & Eval Comp Sys,Chen,3.97,90.9,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,83479,3,1.6,3.9,8.0
226,226,2023-24,Fall,CS,5560,Fundamentals of Info Security,Wang,3.85,81.8,9.1,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,83496,3,3.1,3.1,4.0
227,227,2023-24,Fall,CS,5020,Software Des & Data Structures,Mengistu,3.18,54.5,0.0,0.0,18.2,9.1,9.1,0.0,0.0,0.0,0.0,0.0,9.1,0,11,91560,3,0.0,0.0,0.0
228,228,2018-19,Fall,CS,6824,TS:Emerging Mthds in Math Biol,Cao,3.92,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,90075,3,2.0,4.9,13.0
